CACODE	CONSTITUENCY_C	CONSTITUENCY_E	CAND_NUM	NAME_E	NAME_C	AFFILIATION
D14	石漁	shekyue	1	chulapwai	朱立威	民建聯
D15	黃竹坑	wongchukhang	1	chanwingyan01	陳榮恩	工聯會
D15	黃竹坑	wongchukhang	2	tsuiyuenwa	徐遠華	民主黨
D16	海灣	baysarea	1	schausdavidjohn	SCHAUS DAVID JOHN	不明確
D16	海灣	baysarea	2	fungsegounfergus	馮仕耕	自由黨
D17	赤柱及石澳	stanley&sheko	1	tsangtszho	曾梓濠	自由黨
D17	赤柱及石澳	stanley&sheko	2	yaojieningmaxine	姚潔凝	獨立建制派
D17	赤柱及石澳	stanley&sheko	3	leepuiying	陳李佩英	香港島各界聯合會
E01	尖沙咀西	tsimshatsuiwest	1	lauchihung	劉志雄	獨立民主派/傘後組織
E01	尖沙咀西	tsimshatsuiwest	2	hungchiuwah	孔昭華	民建聯
E02	佐敦南	jordansouth	1	ipngotungchris	葉傲冬	民建聯
E02	佐敦南	jordansouth	2	luingaryeejoey	雷雅儀	香港關注會
E03	佐敦西	jordanwest	1	chansiutong	陳少棠	民建聯
E04	油麻地南	yaumateisouth	1	auyeungtung	歐陽東	民協
E04	油麻地南	yaumateisouth	2	yeungtszhei	楊子熙	民建聯
E05	富榮	charming	1	leewaifung01	李偉峰	民主黨
E05	富榮	charming	2	chungkongmo	鍾港武	民建聯
E06	旺角西	mongkokwest	1	huitakleung	許德亮	西九新動力
E07	富柏	fupak	1	yutakpo	余德寶	公民黨
E07	富柏	fupak	2	lawsiuhungpaul	羅少雄	九龍社團聯會
E08	奧運	olympic	1	kohiuwing	高曉榮	九龍社團聯會
E08	奧運	olympic	2	tokunsunjames	涂謹申	民主黨
E09	櫻桃	cherry	1	lamhoyeung	林浩揚	民主黨
E09	櫻桃	cherry	2	chungchakfai	鍾澤暉	九龍社團聯會
E09	櫻桃	cherry	3	nakadehitsujiko	中出羊子	獨立民主派/本土派
E10	大角咀南	taikoktsuisouth	1	laiyiuchun	黎耀駿	青年新政/傘後組織
E10	大角咀南	taikoktsuisouth	2	choisiufungbenjamin	蔡少峰	民建聯
